,DATE,Kernel
159,2009-08-20,0.8612343414213702
160,2009-08-21,1.1250247607133723
161,2009-08-24,0.7883850685244067
162,2009-08-25,1.654489062102979
163,2009-08-26,1.3598912688870557
164,2009-08-27,1.4011667388891698
165,2009-08-28,1.4785336127209976
166,2009-08-31,1.0706433265997022
167,2009-09-01,2.3918041826698175
168,2009-09-02,1.3375100546837284
169,2009-09-03,1.3686784147340108
170,2009-09-04,1.2847452242630522
171,2009-09-08,0.8944884090763598
172,2009-09-09,0.9443734596994696
173,2009-09-10,0.801965535315682
174,2009-09-11,1.1137341197716577
175,2009-09-14,0.8896045898439914
176,2009-09-15,1.1749095552105282
177,2009-09-16,1.0195682722873
178,2009-09-17,0.8198849743441625
179,2009-09-18,0.6957876179959054
180,2009-09-21,0.669916360286086
